BEL,BELLE CORP,05/21/2020,1.37,1.38,1.35,1.35
BRN,A BROWN,05/21/2020,0.52,0.54,0.51,0.53
CEI,CROWN EQUITIES,05/21/2020,0.124,0.124,0.124,0.124
CHI,CEBU HLDG,05/21/2020,5.5,5.5,5.5,5.5
CLI,CEB LANDMASTERS,05/21/2020,3.98,3.98,3.81,3.97
CPG,CENTURY PROP,05/21/2020,0.345,0.345,0.34,0.345
CYBR,CYBER BAY,05/21/2020,0.275,0.275,0.27,0.27
DD,DOUBLEDRAGON,05/21/2020,16.98,16.98,16.66,16.94
DMW,DM WENCESLAO,05/21/2020,6.5,6.5,6.46,6.5
ELI,EMPIRE EAST,05/21/2020,0.28,0.28,0.28,0.28
EVER,EVER GOTESCO,05/21/2020,0.077,0.114,0.077,0.114
FLI,FILINVEST LAND,05/21/2020,0.94,0.94,0.91,0.93
GERI,GLOBAL ESTATE,05/21/2020,0.78,0.8,0.78,0.8
HOUSE,8990 HLDG,05/21/2020,9.9,10.36,9.9,10
IRC,PHIL INFRADEV,05/21/2020,0.76,0.82,0.76,0.8
KEP,KEPPEL PROP,05/21/2020,3.05,3.7,3.05,3.5
MEG,MEGAWORLD,05/21/2020,2.54,2.65,2.54,2.64
MRC,MRC ALLIED,05/21/2020,0.151,0.154,0.147,0.147
PRMX,PRIMEX CORP,05/21/2020,1.46,1.5,1.46,1.5
RLC,ROBINSONS LAND,05/21/2020,14.6,15.04,14.32,15
RLT,PHIL REALTY,05/21/2020,0.244,0.244,0.244,0.244
ROCK,ROCKWELL,05/21/2020,1.5,1.5,1.42,1.49
SHNG,SHANG PROP,05/21/2020,2.7,2.7,2.65,2.66
SLI,STA LUCIA LAND,05/21/2020,1.89,1.95,1.89,1.95
SMPH,SM PRIME HLDG,05/21/2020,29.4,29.5,28.75,28.95
STR,VISTAMALLS,05/21/2020,3.75,3.75,3.62,3.62
SUN,SUNTRUST HOME,05/21/2020,1.2,1.21,1.16,1.2
TFC,PTFC REDEV CORP,05/21/2020,44.95,44.95,44.95,44.95
VLL,VISTA LAND,05/21/2020,3.43,3.47,3.36,3.39
^SERVICE,,05/21/2020,1319.29,1339.4,1317.42,1331.11
ABS,ABS CBN,05/21/2020,16,16,15.7,15.9
GMA7,GMA NETWORK,05/21/2020,4.98,4.98,4.85,4.92
MB,MANILA BULLETIN,05/21/2020,0.37,0.375,0.36,0.36
MBC,MLA BRDCASTING,05/21/2020,18,19,16.7,18.6
GLO,GLOBE TELECOM,05/21/2020,2232,2280,2232,2270
TEL,PLDT,05/21/2020,1201,1238,1201,1216
DFNN,DFNN INC,05/21/2020,2.8,2.8,2.8,2.8
DITO,DITO CME HLDG,05/21/2020,2.17,2.27,2.15,2.27
IS,ISLAND INFO,05/21/2020,0.08,0.08,0.08,0.08
NOW,NOW CORP,05/21/2020,1.72,1.75,1.72,1.72
TBGI,TRANSPACIFIC BR,05/21/2020,0.18,0.185,0.18,0.18
WEB,PHILWEB,05/21/2020,2.3,2.35,2.29,2.35
2GO,2GO GROUP,05/21/2020,9.75,10.18,9.75,9.75
ATI,ASIAN TERMINALS,05/21/2020,16.98,16.98,16.02,16.02
C,CHELSEA,05/21/2020,3.08,3.15,3.06,3.08
CEB,CEBU AIR,05/21/2020,39.55,40,37.5,37.5
ICT,INTL CONTAINER,05/21/2020,82.2,84.9,82.2,84.5
LSC,LORENZO SHIPPNG,05/21/2020,0.76,0.77,0.76,0.77
MAC,MACROASIA,05/21/2020,4.16,4.29,4.05,4.06
MAH,METROALLIANCE A,05/21/2020,2.65,2.8,2.65,2.68
MAHB,METROALLIANCE B,05/21/2020,2.51,2.69,2.51,2.6
PAL,PAL HLDG,05/21/2020,6.7,6.75,6.6,6.61
TUGS,HARBOR STAR,05/21/2020,0.8,0.82,0.8,0.8
ACE,ACESITE HOTEL,05/21/2020,1.05,1.11,1.05,1.11
BHI,BOULEVARD HLDG,05/21/2020,0.026,0.027,0.025,0.025
WPI,WATERFRONT,05/21/2020,0.385,0.385,0.385,0.385
IPO,IPEOPLE,05/21/2020,7.35,7.35,6.7,7.27
STI,STI HLDG,05/21/2020,0.31,0.315,0.3,0.305
BCOR,BERJAYA,05/21/2020,2.07,2.08,2.02,2.07
BLOOM,BLOOMBERRY,05/21/2020,5.39,5.39,5.23,5.33
LOTO,PACIFIC ONLINE,05/21/2020,1.91,1.91,1.91,1.91
LR,LEISURE AND RES,05/21/2020,1.5,1.5,1.44,1.44
PHR,PH RESORTS GRP,05/21/2020,2.28,2.29,2.28,2.29
PLC,PREMIUM LEISURE,05/21/2020,0.3,0.3,0.295,0.295
HOME,ALLHOME,05/21/2020,5.9,5.9,5.77,5.79
MRSGI,METRO RETAIL,05/21/2020,1.67,1.71,1.65,1.65
PGOLD,PUREGOLD,05/21/2020,46.2,46.4,45.3,46.35
RRHI,ROBINSONS RTL,05/21/2020,70.6,71.2,70.1,71
SEVN,PHIL SEVEN CORP,05/21/2020,130,130.5,130,130
SSI,SSI GROUP,05/21/2020,1.13,1.13,1.11,1.13
WLCON,WILCON DEPOT,05/21/2020,15.4,15.4,14.92,14.94
APC,APC GROUP,05/21/2020,0.305,0.32,0.305,0.305
ECP,EASYCALL,05/21/2020,7,7.2,6.71,6.91
HVN,GOLDEN BRIA,05/21/2020,300,300,300,300
PAX,PAXYS,05/21/2020,2.15,2.19,2.15,2.19
PHA,PRMIERE HORIZON,05/21/2020,0.213,0.219,0.213,0.219
^MINING-OIL,,05/21/2020,4637.66,4655.76,4514.34,4529.49
AB,ATOK,05/21/2020,10.5,10.5,9.85,10.4
